"","GEOID","Census_Tract","County","State","Total","Total_Owner","Total_Renter","Owner_Category","Owner_Count","Renter_Category","Renter_Count"
"1","Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"2","Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"3","Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"4","Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"5","Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",0,"Renter",0
"6","Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",0,"Renter",NA
"7","Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",1191,"Renter",0
"8","Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",1191,"Renter",NA
"9","Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",0
"10","Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",NA
"11","Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",0
"12","Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",NA
"13","Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",0,"Renter",0
"14","Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",0,"Renter",NA
"15","Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",1672,"Renter",0
"16","Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",1672,"Renter",NA
"17","Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",0,"Renter",0
"18","Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",0,"Renter",NA
"19","Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",2269,"Renter",0
"20","Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",2269,"Renter",NA
"21","Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
