"GEOID","Census_Tract","County","State","Total","Total_Owner","Total_Renter","Owner_Category","Owner_Count","Renter_Category","Renter_Count"
"Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1"," Bronx","0",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",0,"Renter",0
"Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",0,"Renter",NA
"Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",1191,"Renter",0
"Census Tract 1"," Kings"," New York",2369,1178,1178,1191,"Owner",1191,"Renter",NA
"Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1"," New York"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",0,"Renter",0
"Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",0,"Renter",NA
"Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",1672,"Renter",0
"Census Tract 1.01"," Queens"," New York",2204,532,532,1672,"Owner",1672,"Renter",NA
"Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",0,"Renter",0
"Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",0,"Renter",NA
"Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",2269,"Renter",0
"Census Tract 1.02"," Queens"," New York",2320,51,51,2269,"Owner",2269,"Renter",NA
"Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1.03"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",0
"Census Tract 1.04"," Queens"," New York",0,0,0,0,"Owner",0,"Renter",NA
"Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",0,"Renter",0
"Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",0,"Renter",NA
"Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",523,"Renter",0
"Census Tract 10"," Queens"," New York",987,464,464,523,"Owner",523,"Renter",NA
"Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",0,"Renter",0
"Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",0,"Renter",NA
"Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",270,"Renter",0
"Census Tract 10.01"," New York"," New York",785,515,515,270,"Owner",270,"Renter",NA
"Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",0,"Renter",0
"Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",0,"Renter",NA
"Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",2312,"Renter",0
"Census Tract 10.02"," New York"," New York",2312,0,0,2312,"Owner",2312,"Renter",NA
"Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",0,"Renter",0
"Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",0,"Renter",NA
"Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",1272,"Renter",0
"Census Tract 100"," Kings"," New York",1734,462,462,1272,"Owner",1272,"Renter",NA
"Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",0,"Renter",0
"Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",0,"Renter",NA
"Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",965,"Renter",0
"Census Tract 100"," New York"," New York",1186,221,221,965,"Owner",965,"Renter",NA
"Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",0,"Renter",0
"Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",0,"Renter",NA
"Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",254,"Renter",0
"Census Tract 100"," Queens"," New York",1178,924,924,254,"Owner",254,"Renter",NA
"Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",0,"Renter",25
"Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",0,"Renter",NA
"Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",515,"Renter",25
"Census Tract 1004"," Kings"," New York",972,457,457,490,"Owner",515,"Renter",NA
"Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",0,"Renter",0
"Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",0,"Renter",NA
"Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",312,"Renter",0
"Census Tract 1006"," Kings"," New York",925,613,613,312,"Owner",312,"Renter",NA
"Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",5,"Renter",0
"Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",5,"Renter",NA
"Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",329,"Renter",0
"Census Tract 1008"," Kings"," New York",661,332,327,329,"Owner",329,"Renter",NA
"Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",0,"Renter",0
"Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",0,"Renter",NA
"Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",136,"Renter",0
"Census Tract 1008.01"," Queens"," New York",669,533,533,136,"Owner",136,"Renter",NA
"Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",0,"Renter",0
"Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",0,"Renter",NA
"Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",722,"Renter",0
"Census Tract 1008.03"," Queens"," New York",1201,479,479,722,"Owner",722,"Renter",NA
"Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",0,"Renter",0
"Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",0,"Renter",NA
"Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",657,"Renter",0
"Census Tract 1008.04"," Queens"," New York",1433,776,776,657,"Owner",657,"Renter",NA
"Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",0,"Renter",0
"Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",0,"Renter",NA
"Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",1086,"Renter",0
"Census Tract 101"," Kings"," New York",1494,408,408,1086,"Owner",1086,"Renter",NA
"Census Tract 101"," New York"," New York",948,4,4,944,"Owner",0,"Renter",0
"Census Tract 101"," New York"," New York",948,4,4,944,"Owner",0,"Renter",NA
"Census Tract 101"," New York"," New York",948,4,4,944,"Owner",944,"Renter",0
"Census Tract 101"," New York"," New York",948,4,4,944,"Owner",944,"Renter",NA
"Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",8,"Renter",0
"Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",8,"Renter",NA
"Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",663,"Renter",0
"Census Tract 101"," Queens"," New York",993,330,322,663,"Owner",663,"Renter",NA
"Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",0,"Renter",0
"Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",0,"Renter",NA
"Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",448,"Renter",0
"Census Tract 1010"," Kings"," New York",872,424,424,448,"Owner",448,"Renter",NA
"Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",0,"Renter",0
"Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",0,"Renter",NA
"Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",1012,"Renter",0
"Census Tract 1010.02"," Queens"," New York",1634,622,622,1012,"Owner",1012,"Renter",NA
"Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",0,"Renter",0
"Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",0,"Renter",NA
"Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",997,"Renter",0
"Census Tract 1010.03"," Queens"," New York",1138,141,141,997,"Owner",997,"Renter",NA
"Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",0,"Renter",0
"Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",0,"Renter",NA
"Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",1769,"Renter",0
"Census Tract 1010.04"," Queens"," New York",2407,638,638,1769,"Owner",1769,"Renter",NA
"Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",0,"Renter",0
"Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",0,"Renter",NA
"Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",426,"Renter",0
"Census Tract 1012"," Kings"," New York",869,443,443,426,"Owner",426,"Renter",NA
"Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",0,"Renter",0
"Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",0,"Renter",NA
"Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",309,"Renter",0
"Census Tract 1014"," Kings"," New York",814,505,505,309,"Owner",309,"Renter",NA
"Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",0,"Renter",0
"Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",0,"Renter",NA
"Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",124,"Renter",0
"Census Tract 1016"," Kings"," New York",520,396,396,124,"Owner",124,"Renter",NA
"Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",0,"Renter",0
"Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",0,"Renter",NA
"Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",295,"Renter",0
"Census Tract 1017"," Queens"," New York",2248,1953,1953,295,"Owner",295,"Renter",NA
